Name: name | Email: email | Phone: phone
Name:   Holly Hughes   |  Email: holly.hughes@example.com   | Phone: 555-1058
Name:Ian Price|Email:iprice@example.org|Phone: 555-1059
Name:   Jasmine Powell   |Email: jasminepowell4@example.net| Phone:555-1060
Name:   Kevin Diaz   |  Email: kevin.diaz@example.com   | Phone: 555-1061
Name:Lily Barnes|Email:lbarnes@example.org|Phone: 555-1062
Name:   Mason Perry   |Email: masonperry7@example.net| Phone:555-1063
Name:   Nina Coleman   |  Email: nina.coleman@example.com   | Phone: 555-1064
Name:Oscar Jenkins|Email:ojenkins@example.org|Phone: 555-1065
Name:   Paige Stone   |Email: paigestone3@example.net| Phone:555-1066
Name:   Reid Hart   |  Email: reid.hart@example.com   | Phone: 555-1067
Name:Sara Warren|Email:swarren@example.org|Phone: 555-1068
Name:   Tristan Gordon   |Email: tristangordon6@example.net| Phone:555-1069
Name:   Una Watts   |  Email: una.watts@example.com   | Phone: 555-1070
Name:Vincent Chavez|Email:vchavez@example.org|Phone: 555-1071
Name:   Wendy Mills   |Email: wendymills2@example.net| Phone:555-1072
Name:   Xander Shaw   |  Email: xander.shaw@example.com   | Phone: 555-1073
Name:Yara Boyd|Email:yboyd@example.org|Phone: 555-1074
Name:   Zane Holmes   |Email: zaneholmes5@example.net| Phone:555-1075
Name:   Amelia Lowe   |  Email: amelia.lowe@example.com   | Phone: 555-1076
Name:Brandon Andrews|Email:bandrews@example.org|Phone: 555-1077
Name:   Clara Gilbert   |Email: claragilbert1@example.net| Phone:555-1078
Name:   Dylan Boyd   |  Email: dylan.boyd@example.com   | Phone: 555-1079
Name:Eliza Pratt|Email:epratt@example.org|Phone: 555-1080
Name:   George Dunn   |Email: georgedunn4@example.net| Phone:555-1081
Name:   Hannah Bishop   |  Email: hannah.bishop@example.com   | Phone: 555-1082
Name:Isaac Fisher|Email:ifisher@example.org|Phone: 555-1083
Name:   Jenna Holmes   |Email: jennaholmes7@example.net| Phone:555-1084
Name:   Kyle Stephens   |  Email: kyle.stephens@example.com   | Phone: 555-1085
Name:Leah Stone|Email:lstone@example.org|Phone: 555-1086
Name:   Mark Barber   |Email: markbarber3@example.net| Phone:555-1087
Name:   Nora Fox   |  Email: nora.fox@example.com   | Phone: 555-1088
Name:Omar Fowler|Email:ofowler@example.org|Phone: 555-1089
Name:   Penny Walsh   |Email: pennywalsh6@example.net| Phone:555-1090
Name:   Quentin Hardy   |  Email: quentin.hardy@example.com   | Phone: 555-1091
Name:Riley Osborne|Email:rosborne@example.org|Phone: 555-1092
Name:   Selena Brady   |Email: selenabrady2@example.net| Phone:555-1093
Name:   Tony Lambert   |  Email: tony.lambert@example.com   | Phone: 555-1094
Name:Ursula Norris|Email:unorris@example.org|Phone: 555-1095
Name:   Valerie Dean   |Email: valeriedean5@example.net| Phone:555-1096
Name:   Wyatt Holt   |  Email: wyatt.holt@example.com   | Phone: 555-1097
Name:Zoe Hunter|Email:zhunter@example.org|Phone: 555-1098
